# x_m, y_m, w_tr_right_m, w_tr_left_m
0.0, 0.0, 10.0, 10.0
-0.013732205993380832, 0.5674982316112903, 10.0, 10.0
-0.027927224455288526, 1.1349850753479929, 10.0, 10.0
-0.04248720872976719, 1.7024626724576137, 10.0, 10.0
-0.05734266359768299, 2.269932611594527, 10.0, 10.0
-0.07244353211912084, 2.837396073090753, 10.0, 10.0
-0.08775339166563755, 3.40485393457833, 10.0, 10.0
-0.10324561418750591, 3.972306846637747, 10.0, 10.0
-0.11873783670937428, 4.53975975869717, 10.0, 10.0
-0.13423005923124265, 5.107212670756588, 10.0, 10.0
-0.14972228175311103, 5.674665582816011, 10.0, 10.0
-0.1652145042749794, 6.242118494875427, 10.0, 10.0
-0.18070672679684777, 6.80957140693485, 10.0, 10.0
-0.19619894931871615, 7.377024318994273, 10.0, 10.0
-0.38405912449713925, 7.912702740199865, 10.0, 10.0
-0.7263780045093086, 8.365538914495374, 10.0, 10.0
-1.1905213514134403, 8.692362674170244, 10.0, 10.0
-1.7322410523930785, 8.862016975424018, 10.0, 10.0
-2.2885191398017697, 8.975143037108825, 10.0, 10.0
-2.8451919643672685, 9.086310400816211, 10.0, 10.0
-3.4018647889327784, 9.197477764523597, 10.0, 10.0
-3.958537613498277, 9.308645128230983, 10.0, 10.0
-4.515210438063787, 9.419812491938371, 10.0, 10.0
-5.071883262629285, 9.530979855645757, 10.0, 10.0
-5.628556087194784, 9.642147219353143, 10.0, 10.0
-6.185228911760283, 9.753314583060542, 10.0, 10.0
-6.741901736325793, 9.864481946767928, 10.0, 10.0
-7.298574560891291, 9.975649310475314, 10.0, 10.0
-7.855247385456801, 10.0868166741827, 10.0, 10.0
-8.4119202100223, 10.197984037890087, 10.0, 10.0
-8.968593034587798, 10.309151401597473, 10.0, 10.0
-9.525265859153297, 10.42031876530487, 10.0, 10.0
-10.081938683718796, 10.531486129012258, 10.0, 10.0
-10.638611508284306, 10.642653492719644, 10.0, 10.0
-11.195284332849804, 10.75382085642703, 10.0, 10.0
-11.751957157415314, 10.864988220134416, 10.0, 10.0
-12.308629981980813, 10.976155583841802, 10.0, 10.0
-12.86530280654631, 11.08732294754919, 10.0, 10.0
-13.42197563111181, 11.198490311256586, 10.0, 10.0
-13.97864845567732, 11.309657674963972, 10.0, 10.0
-14.535321280242819, 11.42082503867136, 10.0, 10.0
-15.091994104808329, 11.531992402378746, 10.0, 10.0
-15.648666929373826, 11.643159766086132, 10.0, 10.0
-16.205339753939324, 11.754327129793518, 10.0, 10.0
-16.762012578504823, 11.865494493500904, 10.0, 10.0
-17.318685403070322, 11.976661857208292, 10.0, 10.0
-17.87535822763582, 12.087829220915678, 10.0, 10.0
-18.43203105220132, 12.198996584623075, 10.0, 10.0
-18.988703876766817, 12.310163948330462, 10.0, 10.0
-19.54537670133233, 12.421331312037848, 10.0, 10.0
-20.102049525897826, 12.532498675745234, 10.0, 10.0
-20.658722350463325, 12.64366603945262, 10.0, 10.0
